Cow,Lact,dim_mean,milk_mean,milk_sd,clinical
183,2,102.46,106.49,12.9,0
184,2,112,136.52,17.36,0
185,2,143.27,92.25,16.8,1
186,2,101.14,91.31,15.22,0
187,2,134.58,113.81,17.14,0
188,2,141.4,121.34,15.26,0
189,2,69.67,119.56,15.75,1
190,2,73.24,126.66,23.32,0
191,2,68.07,117.02,16.35,0
192,2,157.88,95.32,21.03,0
193,2,147.5,90.92,18.21,0
194,2,87.5,115.96,16.21,1
195,2,146.76,95.3,15.31,0
196,2,157.99,92.61,14.4,0
197,2,115.31,116.87,17.26,1
198,2,110.62,99.38,13.96,0
199,2,129.86,98.45,19.17,0
200,2,132.9,111.61,16.27,1
201,2,121.83,119.05,15.69,0
202,2,131.38,117.29,17.68,0
203,2,101.94,115.35,16.35,1
204,2,132.85,111.06,20.68,1
205,2,98.5,84.26,11.31,1
206,2,160.3,97.21,14.61,0
207,2,108.42,124.19,14.67,0
208,2,128.61,108.75,17.43,0
209,2,174.06,119.85,18.9,0
210,2,131,89.08,25.34,0
211,2,109.72,122.43,19.13,0
212,2,142.4,109.45,18.15,0
213,2,142.33,92.64,14.11,1
214,2,144.52,101.57,18.61,1
215,2,119.12,120.38,15.93,0
216,2,127.36,114.53,16.09,1
217,2,121.32,114.17,17.04,1
218,2,69.5,119.9,15.97,0
219,2,126.07,123.44,21.27,0
220,2,100,121.92,17.53,1
221,2,129.53,106.37,15.3,0
222,2,136.67,127.39,17.81,0
223,2,145.06,112.8,14.92,0
224,2,66.92,128.06,21.77,0
225,2,49.3,122.63,15.3,0
226,2,111.9,103.18,16.07,1
227,2,130.98,98.86,14.32,1
228,2,128.26,107.47,14.22,0
229,2,127.36,124.97,16.56,1
230,2,129.2,115.78,14.76,1
231,2,103.5,73.78,10.3,0
232,2,118.74,110.36,14.29,0
233,2,107.5,102.01,17.6,0
234,2,84.5,109.1,13.76,1
235,2,136.28,112.06,20.48,0
236,2,131.79,92.91,14.4,0
237,2,93,91.24,11.1,0
238,2,129.81,116.71,18.85,0
239,2,100.5,129.78,16.41,0
240,2,130.8,98.26,14.97,0
241,2,133.92,95.91,16.94,1
242,2,129.85,120.84,18.35,0
243,2,123.37,97.19,16.48,1
244,2,134.63,120.94,22.2,0
245,2,117.17,110.99,15.1,0
246,2,134.29,141.61,21.01,1
247,2,133.29,94.64,13.01,0
248,2,91,125.08,15.14,0
249,2,9,100.34,8.67,0
250,2,120.34,110.05,14.64,1
251,4,15,120.55,9.23,1
252,2,122,79.65,13.26,0
253,2,80.74,107.38,10.36,0
254,2,97.41,101.75,16.24,0
255,2,111.92,96.2,13.69,1
256,2,115.93,114.76,15.07,0
257,2,118.37,100.76,11.69,1
258,2,110.95,101.76,12.18,1
259,2,58.7,84.24,9.79,1
