Cow,Lact,dim_mean,milk_mean,milk_sd,clinical
793,7,66.19,81.51,18.15,1
794,3,100.71,106.06,9.77,1
795,3,69.5,103.95,9.4,0
796,3,12,98.55,8.21,0
797,3,81.49,132.46,20.36,0
798,3,44.5,131.51,17.19,0
799,3,64.84,112.44,13.82,1
800,4,72.14,111.94,13.89,1
801,3,77,128.99,16.75,0
802,3,10.5,101.69,8.64,1
803,3,87.92,129.79,20.19,1
804,3,68.5,150.61,21.7,0
805,3,133.64,115.1,16.75,0
806,3,58.5,129.47,19.36,0
807,3,76.23,128.38,12.54,1
808,7,25.5,133.85,20.82,0
809,6,135.12,140.19,19.53,1
810,6,101.5,123.84,13.9,0
811,7,43.19,95.39,12.34,0
812,7,65.5,109.78,11.47,1
813,7,34.3,115.36,18.69,0
814,7,15,113.49,13.75,0
815,6,110.11,141.07,16.34,0
816,7,51.46,110.62,10.53,1
817,7,19,122.78,11.23,0
818,6,150,93.09,12.41,1
819,7,46.52,142.3,14.49,1
820,7,57.5,127.16,17.92,0
821,6,52,103.14,14.24,0
822,7,69.41,113.11,15.69,1
823,7,59.85,102.34,13.29,1
824,6,88,131.9,13.92,1
825,6,44,101.18,14.87,1
826,6,111.5,117.02,20.1,1
827,6,113.82,122.77,23.83,0
828,6,86.23,85.64,16.62,1
829,6,55.79,136.02,21.61,1
830,6,135.15,104.99,16.52,0
831,6,133.27,84.2,10.56,0
832,6,139.07,95.76,15.82,0
833,6,114.78,89.64,20.42,1
834,6,73.6,110.56,11.09,1
835,6,66.33,96.1,16.92,0
836,4,31.5,64.87,15.02,0
837,6,41.32,131.82,29.74,1
838,6,113.73,116.08,15.09,1
839,6,131,107.25,17.87,1
840,6,105.34,137.12,24,0
841,6,9.5,109.09,10.35,0
842,6,36,90.54,8.26,0
843,7,7.5,60.97,6.35,1
844,6,76.5,96.68,13.3,1
845,6,91.98,112.76,17.48,0
846,6,28.4,85.68,19.17,0
847,6,57.89,151.72,19.6,0
848,6,148.77,89.33,27.03,0
849,6,84.95,141.73,14.5,0
850,6,121.65,106.86,15.49,1
851,6,123.72,143.23,23.86,1
852,4,40.5,122.76,14.94,0
853,6,47.39,115.04,15.73,1
854,6,118.92,106.81,18.98,0
855,6,111.01,129,32.81,1
856,6,115.02,112.81,15.72,1
857,6,127.53,116.44,21.49,0
858,6,164.95,101.83,21.17,0
859,6,92.25,121.58,16.75,0
860,6,75,91.59,11.79,0
861,6,89.5,100.54,14.65,1
862,6,111.5,117.51,18.25,1
863,6,130.53,127.39,17.94,0
864,6,145.22,100.43,14.78,0
865,6,131.18,108.81,22.39,0
866,6,150.77,78.78,16.68,0
867,6,81.14,138.07,17.87,1
868,6,134,133.74,19.17,0
869,6,123.41,87.24,19.71,1
870,6,40,105.63,7.56,1
871,6,111.89,102.77,15.68,0
872,6,92.16,132.65,14.97,0
873,4,10,115.08,8.63,0
874,6,134.41,140.92,20.26,0
875,6,16,NA,NA,0
876,6,153.21,109.87,14.63,0
877,6,105.94,116.95,11.93,0
878,6,84,100.83,11.25,0
879,6,13,NA,NA,1
880,6,134.79,102.22,15.29,1
881,6,109.57,115.47,17.78,0
882,6,103.35,120.23,18.91,1
883,6,131.63,138.61,22.11,1
884,6,22,108.71,12.32,0
885,6,24,115.29,14.76,1
886,6,37.64,87.56,15.83,1
887,6,132.5,129.24,12.74,1
888,6,34.5,125.53,15.14,0
889,6,80.64,124.75,10.84,0
890,6,101,101.59,19,0
891,6,99.7,93.11,15.15,1
892,6,31,136.64,14.65,0
893,6,69,84.44,10.08,1
894,6,70.6,107.96,14.25,1
895,6,119.5,108.41,13.25,1
896,6,30,123.47,15.3,0
897,6,124.65,116.4,14.71,1
898,6,68,122.05,17.27,1
899,6,26.5,98.88,12.19,0
900,4,12,124.13,8.37,1
901,6,61.06,98.31,18.43,1
902,6,67.5,130.37,15.36,1
903,5,138.28,131.76,21.81,0
904,4,62.5,137.31,19.71,1
905,6,91,117.43,12.48,0
906,4,17,148.22,21.06,0
907,6,37.5,117.02,13.08,1
908,6,62.5,106.33,9.58,0
909,6,69.5,113.06,14.46,1
910,5,137.05,135.81,18.5,1
911,5,136.26,83.25,16.39,0
912,5,112.97,117.76,14.82,1
913,6,24,106.56,12.73,0
914,5,93,127.52,14.5,1
915,6,11,115.71,15.47,0
916,5,154,108.65,23.33,0
917,6,22,55.11,8.35,1
918,4,81.14,95.89,8.73,0
919,5,156.69,106.34,13.8,0
920,5,99.8,104.09,18.47,1
921,6,50,141.57,13.54,1
922,6,49.5,118.25,10.56,0
923,6,61,106.5,19.14,0
924,5,173.18,89.64,15.68,1
925,5,70.26,124.88,12.15,0
926,6,58.56,124.82,19.06,0
927,5,152.5,138.48,25.33,0
928,6,42.82,120.64,17.86,0
929,5,155.61,104.24,18.71,0
930,5,78.52,98.09,12.62,1
931,6,45,121.59,15.97,0
932,6,33.5,134.87,15.64,1
933,5,142.42,98.92,15.3,1
934,5,30.63,97.89,13.82,0
935,6,15,121.64,14.54,0
936,5,45.96,134.79,22.13,1
937,5,115.85,106.23,14.43,1
938,6,7,116,5.2,0
939,5,108,115.51,17.49,0
940,5,135.13,108.58,24.85,0
941,6,13.5,116.26,12.39,1
942,6,53,121.33,13.88,0
943,5,56.76,132.7,13.7,1
944,5,117.5,107.79,15.22,0
945,5,28,64.75,4.8,0
946,5,133.92,100.76,12.2,1
947,6,15.5,99.21,29.17,0
948,5,87.66,100.65,15.3,0
949,5,147.76,102.33,21.55,0
950,5,83.03,152.26,12.82,0
951,5,104.88,122.43,14.06,1
952,5,111.85,131.85,20.33,1
953,5,68.25,105.57,11.36,1
954,5,45.5,132.05,14.78,0
955,6,11.5,98.86,8.26,0
956,5,122.31,136.41,18.06,0
957,5,142.77,106.91,17.45,0
958,5,118.78,107.14,16.89,0
959,5,115.53,107.89,24.63,1
960,5,11,63.65,6.17,1
961,5,15,65.88,10.33,1
962,5,117.16,129.71,14.22,1
963,5,56.16,135.59,17.72,0
964,5,116,51.04,5.94,1
965,5,30.35,104.67,16.12,1
966,5,67.63,121.76,12.62,1
967,5,102.26,116.92,15.35,1
968,5,124.66,95.51,17.61,0
969,5,148.49,103.59,22.21,0
970,5,23,76.17,16.47,0
971,5,166.59,105.87,21.56,0
972,5,50,129.97,11.18,1
973,5,135.81,103.05,20.86,1
974,5,145.49,111.44,19.89,0
975,5,127.5,119.63,13.48,1
976,5,45.5,143.38,9.16,1
977,5,90.94,139.03,19.44,1
978,5,81.39,136.59,16.87,0
979,5,117.17,116.49,20.1,1
980,4,119.81,102.14,12.64,1
981,3,136.61,97.07,20.23,0
982,5,35.5,115.22,14.4,0
983,5,152.97,90.39,18.86,0
984,5,91.38,116.83,13.36,0
985,5,26.5,116.49,9.6,1
986,5,146.4,93.68,27.46,0
987,5,151.04,93.05,24.64,0
988,5,94.1,128.24,15.65,1
989,5,73.95,110.39,16.92,1
990,5,95.6,112.03,13.19,0
991,6,7.5,107.45,7.58,0
992,5,132.18,114.37,14,1
993,5,79.66,148.08,11.33,1
994,5,26.5,107.48,17.3,1
995,5,83.14,116.1,16.77,1
996,5,70.09,99.43,17.27,0
997,5,57.92,158.15,17.47,1
998,4,170.1,95.03,28.64,0
999,5,57.72,118.05,13.43,0
1000,5,70.5,118.27,11.84,0
1001,5,105.17,84.31,11.94,1
1002,4,196.62,107.76,9.52,1
1003,5,110.86,91.83,14.4,1
1004,5,56.5,139.15,13.49,0
1005,5,95.4,113.21,21.53,0
1006,5,76,140.68,14.35,0
1007,5,60,103.6,18.11,0
1008,5,21,113.33,16.71,0
1009,5,129.35,140.68,19.8,1
1010,5,92.97,134.35,12.36,1
1011,5,82.06,101.04,12.33,0
1012,5,49.44,121.73,11.4,0
1013,5,105.75,110.26,18.01,0
1014,5,126.04,123.12,19.48,0
1015,5,85.63,123.85,15.01,1
1016,5,68.5,106.12,15.14,1
1017,5,59.5,120.2,15.28,1
1018,5,87.12,121.65,14.43,1
1019,5,90.96,93.57,15.43,1
1020,5,9,125.36,15.57,1
1021,5,60,159.97,18.92,1
1022,5,107.5,124.75,18.02,0
1023,5,102.5,137.43,18.15,1
1024,5,7,58.9,2.86,0
1025,5,67.74,99.5,11.51,0
1026,5,73.65,94.14,19.91,1
1027,5,68.16,132.41,14.27,0
1028,4,67.5,117.61,12.9,0
1029,5,72,147.46,18.63,1
1030,5,143,107.08,19.22,0
1031,5,43.69,102.57,12.62,0
1032,5,69.54,106.67,11.64,1
1033,5,117.06,96.15,16.29,1
1034,5,59,141.48,17.31,0
1035,5,88.06,133.06,15.57,0
1036,5,30.5,122.82,17.36,0
1037,5,9,104.2,12.62,0
1038,5,11,106.1,6.64,0
1039,4,155.93,106.97,18.51,0
1040,5,94.85,109.67,12.44,0
1041,5,38.5,143.9,15.96,0
1042,5,105.37,118.23,14.94,1
1043,5,87.56,130.2,18.55,1
1044,5,46.91,122.47,11.57,0
1045,5,76.72,122.16,19.79,0
1046,5,61.5,129.02,21.54,1
1047,5,94,147.93,13.73,1
1048,5,67.16,122.66,18.84,0
1049,5,94.5,108.28,19.96,0
1050,5,62.46,129.68,17.87,1
1051,5,79.5,123.54,14.47,1
1052,5,6.5,37.35,9.26,1
1053,5,37,152.44,17.13,0
1054,7,42.37,121.08,19,1
1055,4,85,106.75,12.33,0
1056,5,67,107.89,15.56,0
1057,5,90.43,99.33,14.3,1
1058,5,56.5,122.21,12.48,1
1059,5,84.57,147.3,16.51,0
1060,5,46,123.95,12.78,1
1061,5,75,120.9,17.93,1
1062,5,72,135.58,15.93,1
1063,5,33.5,111.92,14.08,0
1064,5,75.69,99.56,13.02,1
1065,5,103,111,15.93,1
1066,5,8.5,NA,NA,1
1067,5,50.38,127.36,17.36,0
1068,5,38.15,100.1,14.92,1
1069,5,53,113.47,14.68,1
1070,5,15,148.97,9.66,0
1071,4,34.28,110.76,10.08,0
1072,5,24.5,140.59,17.84,1
1073,5,54.13,128.08,17.51,0
1074,4,107.08,148.64,20.78,0
1075,5,69.27,143.79,16.14,1
1076,5,91,116.4,10.91,1
1077,5,61,110.23,11.75,1
1078,5,55,116.41,12.12,0
1079,5,44.5,136.39,14.27,1
1080,4,144.04,110.03,17.06,1
1081,4,88,119.86,20.18,1
1082,5,64.79,124.57,17.62,0
1083,5,43.2,111.72,14.05,1
1084,4,131.13,98.8,13.73,1
1085,5,70.03,93.86,8.59,0
1086,4,66.5,146.33,18.02,0
1087,5,45,139.66,14.86,1
1088,4,127.73,112.96,12.72,1
1089,5,94.97,90.07,8.32,0
1090,5,59.5,126.62,10.97,1
1091,5,58.5,129.53,13.15,1
1092,5,71.5,82.74,13.42,0
1093,5,63.81,131.34,14.36,0
1094,5,16.5,113.78,14.6,1
1095,5,78.53,99.1,18.08,1
1096,4,52.5,100.64,13.81,1
1097,4,126.31,116.48,20.74,1
1098,5,37,115.55,16.92,0
1099,5,76.22,124.22,18.3,0
1100,4,150.35,105.14,26,0
1101,5,10,71.89,12.32,1
1102,4,145.55,98,15.11,1
1103,5,16.25,77.31,9.61,1
1104,4,80.5,137.64,13.28,0
1105,4,118.59,118.53,13.96,0
1106,4,140.79,119.09,23.4,1
1107,4,72.94,85.35,16.04,0
1108,4,132.83,107.48,12.56,1
1109,4,145.34,112.37,24.42,0
1110,5,58,115.79,9.49,0
1111,4,25.5,106.59,20.5,0
1112,4,127.5,119.56,17.22,0
1113,4,153.47,146.37,18.65,0
1114,5,11.5,111.39,16.18,1
1115,4,11,52.49,14.55,1
1116,4,39.27,108.01,14.56,0
1117,4,151.2,109.18,29.8,0
1118,4,148.49,122.97,20.11,0
1119,4,134.94,113.12,19.39,0
1120,4,149,111.76,21.75,1
1121,4,121.32,126.57,16.32,1
1122,4,110.5,101.19,14.41,1
1123,4,144.07,116.46,19.68,0
1124,4,158.29,95.55,16.47,0
1125,4,6.5,52.4,NA,1
1126,4,145.54,99.15,23.61,1
1127,4,123.81,104.66,16.31,1
1128,4,163.76,122.61,23.43,0
1129,4,157.69,102.44,17.66,0
1130,4,148.99,104.83,18.36,0
1131,4,69.5,122.08,10.66,1
1132,4,113.84,110.4,20.96,1
1133,4,123.03,116.76,14.97,0
1134,4,129.35,122.77,19.28,0
1135,4,141.77,106.99,25,0
1136,4,56.2,113.97,20.59,1
1137,4,124.9,109.93,13.16,0
1138,4,154.51,73.04,18.79,0
1139,4,163.46,147.49,31.04,0
1140,3,149.88,112.84,24.15,0
1141,4,154.75,102.97,22.93,0
1142,5,13.5,97.08,18.32,1
1143,4,12.64,94.55,21.17,0
1144,4,140.06,155.29,24.25,1
1145,4,55.4,109.35,11.07,0
1146,4,132,116.63,16.65,1
1147,4,128.6,125.84,17.33,1
1148,4,12,19.32,5.79,0
1149,4,111,134.17,17.75,1
1150,4,71.52,99.22,20.49,0
1151,4,55.5,136.22,16.31,1
1152,4,131.63,111.63,14.08,1
1153,4,167.81,118.51,21.66,0
1154,4,134.65,119.57,14.83,1
1155,4,155.52,82.46,15.4,0
1156,4,75.5,118.73,12.89,1
1157,4,131,138.56,21.85,0
1158,4,117,136.55,18.14,1
1159,4,32.5,123.36,19.82,0
1160,4,107.6,91.54,18.19,0
1161,4,118.17,126.55,25.14,1
1162,4,126.5,118.07,11.56,1
1163,4,125.63,111.31,21.55,1
1164,4,118.38,124.99,16.65,1
1165,4,140.92,124.11,18.24,1
1166,4,140.71,98.39,18.64,0
1167,4,127.33,130.89,19.23,1
1168,4,85,160.15,14.6,0
1169,4,161.12,138.9,15.49,0
1170,4,89.91,142.72,19.37,0
1171,4,88.45,135.57,15.33,1
1172,4,65.5,121.7,21.42,1
1173,4,118.52,79.23,12.23,1
1174,4,125.81,133.92,20.93,1
1175,4,95.68,107.98,14.83,1
1176,4,133.32,131.33,18.64,1
1177,4,91.34,130.88,14.66,0
1178,4,136.5,127.32,21.66,1
1179,4,95.42,114.94,25.18,0
1180,4,130.5,129.99,18.42,0
1181,4,152.89,103.57,18.21,1
1182,4,72.58,67.52,5.77,0
1183,4,92.8,136.04,14.43,0
1184,4,110.71,133.31,16.76,1
1185,4,175,116.7,14.35,0
1186,4,12.5,106.95,17.32,0
1187,4,105.37,99.68,11.24,0
1188,4,152.34,120.55,26.16,0
1189,4,62.37,115.14,12.61,0
1190,4,162.34,116.22,18.14,0
1191,4,156.24,100.92,24.86,0
1192,4,167.44,118.98,19.34,0
1193,4,87.01,106.78,12.14,1
1194,4,113.18,128.72,15.53,0
1195,4,78.69,122.86,20.17,1
1196,4,104,131.69,19,0
1197,4,105.5,120.01,14.66,0
1198,4,144,131.7,30.69,1
1199,4,63.5,128.17,15.66,1
1200,4,36.5,124.46,12.83,1
1201,4,84.56,87.78,9.42,1
1202,4,112.85,133.3,15.66,0
1203,4,127.18,100.23,13.32,1
1204,4,138.84,124.62,23.38,1
1205,4,112.85,114.94,14.38,1
1206,4,147.66,97.52,23.49,0
1207,4,93.5,143.86,14.75,0
1208,4,101.5,116,11.32,1
1209,4,126.57,148.21,19.88,1
1210,4,84,127.51,14.79,1
1211,4,141.5,108.36,13.68,1
1212,4,157.5,125.25,20.43,0
1213,4,138.79,126.3,23.69,1
1214,4,89,123.08,17.04,1
1215,4,130.1,102.14,23.9,1
1216,4,107.24,117.96,17.99,1
1217,4,103.5,135.7,16.05,1
1218,4,45.5,149.97,15.4,0
1219,4,77.5,133.73,15.52,0
1220,4,147.78,114.53,16.66,0
1221,4,50,137.7,18.99,1
1222,4,85.63,93.41,10.12,0
1223,4,10,86.58,15.08,0
1224,4,102.28,129.9,17.49,1
1225,4,56.59,134.59,14.28,1
1226,4,78.5,127.13,10.71,0
1227,4,45.46,136.63,14.53,0
1228,4,32,88.86,11.85,0
1229,4,63.64,131.38,14.94,1
1230,4,84,124.91,14.38,1
1231,4,61.08,142.84,26.72,1
1232,4,92.5,120.49,12.49,1
1233,4,36.5,126.87,16.71,0
1234,4,107.2,114.51,28.85,1
1235,4,104.87,129.36,20.71,1
1236,4,39,146.19,17.99,1
1237,4,42.54,141.27,14.42,1
1238,4,67.79,121.04,14.2,0
1239,4,116.33,115.83,19.13,1
1240,4,78.53,123.34,16.63,1
1241,4,156.65,115.07,23.02,0
1242,4,118.17,132.65,20.09,1
1243,4,53.32,119.37,12.07,0
1244,4,117.44,133.63,32.48,0
1245,4,74.78,144.85,16.86,0
1246,4,75.5,120.81,14,1
1247,4,77,124.54,15.73,0
1248,4,81.14,138.17,18.73,1
1249,4,76,148.75,17.76,1
1250,4,35,142.77,17.12,0
1251,4,88.04,108.25,13.46,0
1252,4,68.16,97.65,8.63,0
1253,4,88.46,111.23,11.17,0
1254,4,73.5,98.64,10.7,0
1255,4,65.5,95.14,11.38,0
1256,4,52.1,82.48,9.25,0
1257,4,109.86,132.83,22.19,1
1258,4,72.4,115.01,15.24,1
1259,4,81,119.5,13.91,0
1260,4,90,113.54,14.14,0
1261,4,66.28,124.51,12.34,1
1262,4,12.5,128.22,5.97,1
1263,4,88,137.84,11.45,1
1264,4,70.57,96.3,9.65,1
1265,4,58,128.13,15.39,0
1266,4,18,96.7,NA,0
1267,4,10.5,114.49,15.69,0
1268,4,17.5,148.92,14.96,1
1269,4,103,118.43,20.18,1
1270,4,59.5,116.85,14.08,0
1271,4,44.5,125.94,20.58,1
1272,4,80.58,145.33,14.42,1
1273,4,64.37,121.75,14.76,0
1274,4,41,154.61,17.06,0
1275,3,167.38,94.81,13.87,0
1276,4,26,136.89,20.53,0
1277,4,11,108.68,8.7,1
1278,4,70.08,118.03,13.06,1
1279,4,49.5,103.17,11.28,1
1280,4,89.57,147.01,14.69,0
1281,4,35,138.51,21.12,0
